Question,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Explanation,Domain
 Which of the following statements is not true? ," Where ethics and Common Law are in conflict, Common Law overrides the ethical guidelines. Therefore, Mandatory Reporting overrides confidentiality. However, ethically we have a duty to inform clients if their private material is being released or referred to someone. ", Any decision to override the normal confidentiality needs to be well-documented and is likely to be considered with other professionals. ," Failure to warn if somebody is a very high risk to themselves or to another has serious implications. However, breach of privacy information is also a serious consideration. "," Clients might seek access to their personal test results under Privacy Legislation or Freedom of Information. The grounds for releasing information vary from system to system, and test documents may be deemed exempt from release on the grounds that disclosure would be contrary to the personal interest of the client. ", Psychologists should be alert to any inappropriate requests by other professionals to release client test results or personal records. They can refuse to comply with such requests if doing so would be a breach of confidentiality or the provisions of the Privacy Act. , D ," A Where ethics and Common Law are in conflict, Common Law overrides the ethical guidelines. Therefore, Mandatory Reporting overrides confidentiality. However, ethically we have a duty to inform clients if their private material is being released or referred to someone. B Any decision to override the normal confidentiality needs to be well-documented and is likely to be considered with other professionals. C Failure to warn if somebody is a very high risk to themselves or to another has serious implications. However, breach of privacy information is also a serious consideration. D Clients might seek access to their personal test results under Privacy Legislation or Freedom of Information. The grounds for releasing information vary from system to system, and test documents may be deemed exempt from release on the grounds that disclosure would be contrary to the personal interest of the client. E Psychologists should be alert to any inappropriate requests by other professionals to release client test results or personal records. They can refuse to comply with such requests if doing so would be a breach of confidentiality or the provisions of the Privacy Act. ", Communication 
 Which of the following approaches will best help to avoid many of the common problems associated with the ethical release of information? , Psychologists should ensure they gain the prior informed consent of clients to present their personal information to other professionals. , Clients should be made aware of any requirement in the organisation to share files and data with other work professionals prior to commencing the psychological service. ," Psychologists should use language and behaviour that communicates respect to their clients, and this includes older people. ", Explicitly insist that the client obtain your permission before citing any material from the client file in her presentation. , All of the above , E ," A Psychologists should ensure they gain the prior informed consent of clients to present their personal information to other professionals. B Clients should be made aware of any requirement in the organisation to share files and data with other work professionals prior to commencing the psychological service. C  Psychologists should use language and behaviour that communicates respect to their clients, and this includes older people.  D De-identifying case information helps to uphold confidentiality. E All of the above ", Communication 
 Psychologists working in multidisciplinary teams should , Clarify with colleagues the need to safeguard the confidentiality of psychological assessment data. , Clarify the nature of information to be shared. , Discuss how that information will be shared. , All of the above , None of the above , D , A Clarify with colleagues the need to safeguard the confidentiality of psychological assessment data. B Clarify the nature of information to be shared. C Discuss how that information will be shared. D All of the above E None of the above , Communication 
" A psychologist has not updated his or her Wechsler test and is using version three while conducting adult intellectual assessments. A colleague becomes aware of this and subsequently discusses the issue directly with the psychologist involved, stating that this is not appropriate or ethical. What is the general ethical principle underlying their concern? ", Respect for the rights and dignity of people and peoples , Propriety , Integrity , Recency of practice , None of the above , B ,"B is correct. Propriety requires psychologists to provide competent services and use current, validated instruments. Persisting with an outdated Wechsler version risks invalid results and breaches competence standards. A/Respect and C/Integrity are relevant generally, but the primary principle here is Propriety. ‘Recency of practice’ is not a Code principle.", Ethics 
 You want to work with a client from an Indigenous client group for the first time. You should , Refer to another therapist. ," Read books about how to work with Indigenous Australians, while you are working with the Indigenous client. ", Seek appropriate supervision before taking on an Indigenous client and continue supervision over the course of treatment. , Rely on your basic skills as a therapist and everything will work out. , Talk to an Indigenous community member about the client to gain a greater understanding of the client’s needs. , C ," A Refer to another therapist. B Read books about how to work with Indigenous Australians, while you are working with the Indigenous client. C Seek appropriate supervision before taking on an Indigenous client and continue supervision over the course of treatment. D Rely on your basic skills as a therapist and everything will work out. E Talk to an Indigenous community member about the client to gain a greater understanding of the client’s needs. ", Ethics 
 You are providing psychotherapy to a 15-year-old female client who discloses in session that she had recent sexual contact with her father. She begs you not to tell anyone because she believes it will make things worse. Her parents contact you asking how treatment is progressing because they think their daughter is getting worse. The best action is to: , Discuss the concerns with your client and explain your need to report the abuse to the appropriate agency. , Follow your state’s procedure for mandatory reporting of sexual abuse. , Discuss your concerns with your client and explain your need to tell her parents and report the abuse to the Child Abuse Report Line. , Notify her parents as your client is a minor and her parents need to know. ," Maintain client confidentiality by not reporting or telling her parents, as she requested. ", C ," A Discuss the concerns with your client and explain your need to report the abuse to the appropriate agency. B Follow your state’s procedure for mandatory reporting of sexual abuse. C Discuss your concerns with your client and explain your need to tell her parents and report the abuse to the Child Abuse Report Line. D Notify her parents as your client is a minor and her parents need to know. E Maintain client confidentiality by not reporting or telling her parents, as she requested. ", Ethics 
 You are conducting a group therapy session with young people. Which best describes the ethical obligations involving confidentiality in group settings? ," At the outset of therapy, group members must sign a binding contract to maintain confidentiality. ", You should discuss the benefits of maintaining confidentiality and note the limits to confidentiality when a group is involved. , Group members have no legal obligation to maintain confidentiality. , Group members are legally obligated to maintain confidentiality. ," Outline that it is expected group members will maintain confidentiality, and those who do not will no longer be able to participate. ", B ," A At the outset of therapy, group members must sign a binding contract to maintain confidentiality. B You should discuss the benefits of maintaining confidentiality and note the limits to confidentiality when a group is involved. C Group members have no legal obligation to maintain confidentiality. D Group members are legally obligated to maintain confidentiality. E Outline that it is expected group members will maintain confidentiality, and those who do not will no longer be able to participate. ", Ethics 
" While providing supervision to trainee psychologists, a supervisee discloses significant depression relating to a personal relationship and asks for advice from the supervisor. The supervisor should ", Assess the extent of the supervisee’s depressive symptoms and provide psychological intervention as deemed appropriate. , Ignore the request for advice and focus exclusively on the supervision cases being discussed. , Explain the boundaries of your relationship and offer to make a referral to an external clinician. Discuss the supervisee’s depression and relationship in relation to how these are impacting their professional functioning. , Ignore the request and during group supervision outline the inappropriateness of bringing personal issues into supervision. , Explain that reporting such difficulties in the context of clinical supervision can be viewed as the supervisee avoiding focusing on their deficient clinical skills. , C , A Assess the extent of the supervisee’s depressive symptoms and provide psychological intervention as deemed appropriate. B Ignore the request for advice and focus exclusively on the supervision cases being discussed. C Explain the boundaries of your relationship and offer to make a referral to an external clinician. Discuss the supervisee’s depression and relationship in relation to how these are impacting their professional functioning. D Ignore the request and during group supervision outline the inappropriateness of bringing personal issues into supervision. E Explain that reporting such difficulties in the context of clinical supervision can be viewed as the supervisee avoiding focusing on their deficient clinical skills. , Ethics 
 Which of the following statements are correct? , Psychologists seek professional supervision or consultation on a monthly basis to maintain and develop appropriate skills in their area of professional practice. ," Psychologists only provide psychological services within the limits of their education, training, supervised experience, and appropriate professional experience, except those working in rural or remote areas. "," Psychologists monitor their professional functioning on a monthly basis, and if they become aware of problems that may impair their ability to provide competent psychological services, they take appropriate action. ", All of the above , None of the above , E ," A Psychologists seek professional supervision or consultation on a monthly basis to maintain and develop appropriate skills in their area of professional practice. B Psychologists only provide psychological services within the limits of their education, training, supervised experience, and appropriate professional experience, except those working in rural or remote areas. C Psychologists monitor their professional functioning on a monthly basis, and if they become aware of problems that may impair their ability to provide competent psychological services, they take appropriate action. D All of the above E None of the above ", Ethics 
 Which of the following are considered vulnerable groups for reporting abuse and neglect? , Individuals under a guardianship order , Individuals with dementia , Nursing home residents , All of the above , None of the above , D , A Individuals under a guardianship order B Individuals with dementia C Nursing home residents D All of the above E None of the above , Ethics 
 Which General Principle relates to psychologists establishing a trusting relationship with colleagues? , Integrity , Justice , Propriety , Respect , Recency , A , A Integrity B Justice C Propriety D Respect E Recency , Ethics 
 When is it reasonable to terminate psychological services with a client? , If a psychologist is threatened by the client. , If psychological services are no longer required. , If benefit to the client is not being recognised. , When the psychologist is confronted with evidence of a problem or situation which they are not competent to deal with. , All of the above are acceptable grounds to terminate. , E , A If a psychologist is threatened by the client. B If psychological services are no longer required. C If benefit to the client is not being recognised. D When the psychologist is confronted with evidence of a problem or situation which they are not competent to deal with. E All of the above are acceptable grounds to terminate. , Ethics 
 When is it acceptable to make multiple photocopies of psychological tests for part of a study protocol? , Always , Never , Only if copyrighted , Only if you paid for the original , Only if you were able to find it on the internet , B , A Always B Never C Only if copyrighted D Only if you paid for the original E Only if you were able to find it on the internet , Ethics 
" When a person is believed to lack capacity to give consent, the psychologist needs to: ", Attempt to obtain the client’s consent as far as possible. , Obtain consent from the client’s legal guardian. , Obtain both the consent from the client’s legal guardian and the client’s consent as far as possible. , Consider not to pursue therapy with the client due to the high risk of exploitation. , Continue with psychological treatment as the client displays high need. , C , A Attempt to obtain the client’s consent as far as possible. B Obtain consent from the client’s legal guardian. C Obtain both the consent from the client’s legal guardian and the client’s consent as far as possible. D Consider not to pursue therapy with the client due to the high risk of exploitation. E Continue with psychological treatment as the client displays high need. , Ethics 
" A provisional psychologist has had a low participant rate in their supervised research project. As a result, the student has expanded the possible participant pool from attendees at a local community centre gathering to include shoppers at an adjoining local shopping centre. The study has not been approved by the governing ethics committee to include such shoppers, but the same informed consent procedures for the approved participants at the community centre have been used. The student’s supervisor was not consulted about the expansion of participants. When the supervisee informs their supervisor that they have “widened” the participant pool without first gaining approval from the ethics committee, the supervisor is not pleased. What is likely to happen regarding the research project? "," The additional data will be discarded, and the situation will not be discussed again as the supervisee now knows what they did was not appropriate. ", The additional data will be allowed as the existing approved consent procedures were used and after explanation the supervisor will be grateful for the student’s flexible approach. , The matter will have to be reported to the Psychology Board of Australia for possible action. , A report will have to be made to the governing ethics committee and request their guidance regarding what to do with the data. , Both A and C , D ," A The additional data will be discarded, and the situation will not be discussed again as the supervisee now knows what they did was not appropriate. B The additional data will be allowed as the existing approved consent procedures were used and after explanation the supervisor will be grateful for the student’s flexible approach. C The matter will have to be reported to the Psychology Board of Australia for possible action. D A report will have to be made to the governing ethics committee and request their guidance regarding what to do with the data. E Both A and C ", Ethics 
" A new client discloses to you in session that he was receiving service from another psychologist a few months back, but he terminated that relationship because the psychologist repeatedly made inappropriate sexual comments in session that made him feel uncomfortable. You should: ", Have your client tell you the name of the other psychologist and report him or her APHRA. , State that the client must be mistaken as psychologists must abide by the Code of Ethics and would not behave in such a way. , Have your client tell you the name of the other psychologist and confront him or her in person or on the telephone. , Do nothing since you did not witness any inappropriate behaviour yourself. , Inform your client that the other psychologist’s reported behaviour was unethical and discuss what action he may want to take. , E , A Have your client tell you the name of the other psychologist and report him or her APHRA. B State that the client must be mistaken as psychologists must abide by the Code of Ethics and would not behave in such a way. C Have your client tell you the name of the other psychologist and confront him or her in person or on the telephone. D Do nothing since you did not witness any inappropriate behaviour yourself. E Inform your client that the other psychologist’s reported behaviour was unethical and discuss what action he may want to take. , Ethics 
" Your friend, a respected psychologist, suffers a moderate traumatic brain injury following a sporting accident. You have noticed that she has been more forgetful and has difficulty concentrating since that time. What should you do? ", Nothing as you believe the traumatic brain injury will quickly resolve and she will regain pre-injury functioning. , Have a conversation with her regarding your concerns in the first instance. , Nothing as it is her responsibility to monitor her own functioning and competencies. , Make a report to the Psychology Board of Australia in the first instance. , Talk with her about your concerns and complete an informal neuropsychological assessment to monitor her functioning. , B , A Nothing as you believe the traumatic brain injury will quickly resolve and she will regain pre-injury functioning. B Have a conversation with her regarding your concerns in the first instance. C Nothing as it is her responsibility to monitor her own functioning and competencies. D Make a report to the Psychology Board of Australia in the first instance. E Talk with her about your concerns and complete an informal neuropsychological assessment to monitor her functioning. , Ethics 
 You are teaching a class for a university psychology program as a paid visiting lecturer and you need to organise cover for when you go on your annual holiday. Which of the following is the most ethical option? ," Have some selected advanced supervisees voluntarily guest lecture when you are on vacation, given that they are knowledgeable in the respective topic, for the days that you are gone as the practice will be useful to them. ", Present the option to substitute teach to all your advanced supervisees. ," Have some selected advanced supervisees guest lecture when you are on vacation, given that they are knowledgeable in the respective topic, for the days that you are gone and compensate them based on what you would have earned for teaching those classes. ", Present the option to substitute teach to all of your advanced supervisees and compensate them based on what you would have earned for teaching those classes. ," Present the option to voluntarily teach to all your advance supervisees and sign up those who respond first, as it is important to get the position filled as quickly as possible. ", D ," A Have some selected advanced supervisees voluntarily guest lecture when you are on vacation, given that they are knowledgeable in the respective topic, for the days that you are gone as the practice will be useful to them. B Present the option to substitute teach to all your advanced supervisees. C Have some selected advanced supervisees guest lecture when you are on vacation, given that they are knowledgeable in the respective topic, for the days that you are gone and compensate them based on what you would have earned for teaching those classes. D Present the option to substitute teach to all of your advanced supervisees and compensate them based on what you would have earned for teaching those classes. E Present the option to voluntarily teach to all your advance supervisees and sign up those who respond first, as it is important to get the position filled as quickly as possible. ", Ethics 
 Who can release confidential information? , The clinician (under certain circumstances) , The client , The courts , All of the above , None of the above , D , A The clinician (under certain circumstances) B The client C The courts D All of the above E None of the above , Ethics 
" While conducting interviews for a health worker position to join your workplace’s multidisciplinary team, a colleague also on the three-member interview panel makes a derogatory remark about Indigenous Australians and not wanting to hire “one” because the agency does not have many Indigenous clients, and as a result the worker would not be busy enough to justify hiring them. After all, they say, no “regular” Australian would like to see them for their health worker. You are the only psychologist on the panel. What is the most appropriate response? ", Overtly state that such an approach is unfair and discriminatory and that it is not proper to use such an approach in making service delivery decisions in hiring staff or service provision. , Say nothing at the time but bring up the issue to your employer/supervisor at a convenient time. ," Agree with their position, after all Indigenous populations only account for about 2.5% of the Australian population. "," Ignore the remark, there is no way to change such entrenched prejudice. "," Agree with their position, as any minority population would have problems providing services to “regular” Australians. ", A ," A Overtly state that such an approach is unfair and discriminatory and that it is not proper to use such an approach in making service delivery decisions in hiring staff or service provision. B Say nothing at the time but bring up the issue to your employer/supervisor at a convenient time. C Agree with their position, after all Indigenous populations only account for about 2.5% of the Australian population. D Ignore the remark, there is no way to change such entrenched prejudice. E Agree with their position, as any minority population would have problems providing services to “regular” Australians. ", Ethics 
 Which of the following is not an example of a dual relationship? , Friending a client on Facebook , Seeing a client at the supermarket , Singing at a client’s wedding , Having a client clean your work premises , Using a client’s catering business at your spouse’s birthday , B , A Friending a client on Facebook B Seeing a client at the supermarket C Singing at a client’s wedding D Having a client clean your work premises E Using a client’s catering business at your spouse’s birthday , Ethics 
 Which of the following constitutes reasonable grounds for reporting suspected child abuse and neglect? , A child states he or she has been physically injured by a person or sexually abused. ," A relative, friend, acquaintance, or sibling of the child states that the child has been physically injured by a person or sexually abused. "," Professional observations of the child’s behaviour or development lead the psychologist to form a belief that the child has been physically injured or sexually abused or there has been a failure to provide the child with shelter, safety, supervision, or nutritional needs. ", All of the above , None of the above; the only time you can report abuse is if you can see bruising. , D ," A A child states he or she has been physically injured by a person or sexually abused. B A relative, friend, acquaintance, or sibling of the child states that the child has been physically injured by a person or sexually abused. C Professional observations of the child’s behaviour or development lead the psychologist to form a belief that the child has been physically injured or sexually abused or there has been a failure to provide the child with shelter, safety, supervision, or nutritional needs. D All of the above E None of the above; the only time you can report abuse is if you can see bruising. ", Ethics
 What is the first step in the sequence of therapy for most structured approaches? , Establish rapport and/or therapeutic relationship , Validate and explore concerns , Diagnosis and formulation , Psycho-education , Development plan with client , A ," The sequence begins with establishing rapport, which is ongoing throughout therapy. ",Intervention
 Which evidence-based treatment is specifically recommended for OCD? , CBT with ERP , IPT , Brief psychodynamic therapy , DBT , Schema therapy , A ," CBT, particularly Exposure and Response Prevention (ERP), is the first-line treatment for OCD. ",Intervention
" In CBT, negative automatic thoughts often center around which three areas? "," Ourselves, others, and the past "," Ourselves, the world, and the future "," The past, present, and the future "," Emotions, behaviors, and thoughts "," Relationships, career, and health ", B ," CBT focuses on negative thoughts about the self, the world, and the future, known as Beck's cognitive triad. ",Intervention
 What is a key technique in CBT for challenging cognitive appraisals? ," Asking ""What was going through your mind just then?"" ", Role-playing scenarios , Prolonged exposure , Motivational interviewing , Medication review , A , This question helps clarify the meaning of the situation for the client in CBT. ,Intervention
 Which type of exposure in behavioral strategies involves internal stimuli? , Situational/in vivo , Imaginal , Interoceptive , Self-focused , Graduated hierarchy , C ," Interoceptive exposure targets internal sensations, often used in panic disorder. ",Intervention
" For PTSD, which CBT intervention involves repeated imaginal exposure? ", Prolonged Exposure , ERP , Behavioral Activation , Schema therapy , Motivational Interviewing , A , Prolonged Exposure includes imaginal reliving of the trauma to process it. ,Intervention
" In IPT, which problem area focuses on conflicts or disagreements in relationships? ", Grief , Interpersonal disputes , Role transitions , Interpersonal sensitivity , Isolation , B , Interpersonal disputes address conflicts between the client and others. ,Intervention
 IPT is typically time-limited to how many sessions? , 4-6 , 8-10 , 12-16 , 20-24 , Unlimited , C , IPT is structured as a short-term therapy lasting 12-16 sessions. ,Intervention
 Which core principle of Motivational Interviewing involves respecting the client's autonomy? , Partnership , Acceptance , Compassion , Evocation , Resistance , B , Acceptance includes prizing the client's autonomy and right to choose. ,Intervention
" In the Stages of Change model, what stage involves ambivalence about change? ", Precontemplation , Contemplation , Determination , Action , Maintenance , B ," Contemplation is marked by weighing pros and cons, leading to ambivalence. ",Intervention
 What is a fundamental assumption of Solution Focused Therapy? , The client is the expert , Problems must be fully understood , Change is rare and difficult , Focus on the past , Therapy is problem-focused , A , SFT views the client as the expert on their own life and solutions. ,Intervention
 Which medication class is commonly used for ADHD? , SSRIs , Mood stabilizers , Antipsychotics , Stimulants like methylphenidate , Benzodiazepines , D , Stimulants such as Ritalin (methylphenidate) are first-line for ADHD. ,Intervention
" For depression, which treatment combines cognitive and behavioral elements? ", IPT , Psychodynamic therapy , CBT , DBT , EMDR , C , CBT integrates cognitive restructuring with behavioral activation. ,Intervention
" In behavioral strategies for depression, what is a primary goal? ", Increasing activity levels , Avoiding all stressors , Focusing on past traumas , Medication adherence only , Isolation from others , A , Behavioral activation aims to increase engagement in rewarding activities. ,Intervention
 What does ERP stand for in OCD treatment? , Emotional Regulation Process , Exposure and Response Prevention , Extended Role Play , Evidence-Based Recovery Plan , Emotional Response Processing , B , ERP involves exposing to obsessions while preventing compulsions. ,Intervention
" In IPT, when is ""grief"" selected as a focus area? ", When symptoms follow a loss , During role transitions , In interpersonal disputes , For sensitivity issues , In all cases , A , Grief is targeted when depression onset relates to a death or loss. ,Intervention
" In MI, which process focuses on eliciting the client's own reasons for change? ", Confronting denial , Evoking change talk , Arguing for change , Labeling behaviors , Ignoring ambivalence , B , MI emphasizes evoking the client's own motivations rather than confronting. ,Intervention
" In SFT, therapy focuses on what rather than problems? ", Solutions and future , Past traumas , Deep unconscious conflicts , Medication options , Group dynamics , A ," SFT is future-oriented and solution-focused, not problem-saturated. ",Intervention
 Benzodiazepines are primarily used for which condition? , Schizophrenia , Bipolar disorder , Anxiety and panic , ADHD , Depression , C , Drugs like Valium and Xanax are anxiolytics for short-term anxiety relief. ,Intervention
 What ongoing element is emphasized in the therapy sequence? , Therapeutic relationship , Diagnosis only , Intervention phase , Discharge planning , Medication review , A , Rapport and alliance are established initially and maintained throughout. ,Intervention
" For personality disorders, which treatment is evidence-based? ", DBT , CBT only , IPT , Prolonged exposure , Behavioral activation , A , DBT is specifically designed for borderline personality disorder. ,Intervention
" In CBT, what elicits negative emotions according to the model? ", Cognitive processes , External events only , Genetic factors , Social isolation , Physical health , A , CBT posits that thoughts influence emotions and behaviors. ,Intervention
 Which question evaluates evidence in cognitive restructuring? ," ""What was going through your mind?"" "," ""Evidence: For and against this belief?"" "," ""So what...?"" "," ""Define the situation"" "," ""Clarify meaning"" ", B , This probes the validity of the belief with supporting and contradicting evidence. ,Intervention
" For social phobia, which exposure type is most common? ", Imaginal , Interoceptive , Situational/in vivo , Self-focused only , None , C , In vivo exposure to social situations is key for social anxiety. ,Intervention
" In CBT for anxiety, what often precedes graded exposure? ", Cognitive interventions , Medication , Psychodynamic exploration , Group therapy , Hypnosis , A , Cognitive work reduces catastrophic thinking before behavioral exposure. ,Intervention
 IPT differs from CBT by focusing on what? , Interpersonal relationships , Cognitive distortions , Behavioral habits , Unconscious conflicts , Medication side effects , A , IPT emphasizes current interpersonal issues over internal cognitions. ,Intervention
 Which is NOT a technique in IPT? , Clarification , Expression of Affect , Transference interpretation , Communication Analysis , Role Playing , C ," IPT avoids delving into transference, unlike psychodynamic therapy. ",Intervention
" In MI, what is the psychologist's role regarding motivation? ", To impose it , To evoke intrinsic motivation , To ignore it , To confront lack of it , To medicate for it , B , MI draws out the client's own reasons for change. ,Intervention
" During the Action stage of change, what approach is useful? ", Harm reduction , Elicit reasons for use , Relapse prevention , Don't inform a problem , Focus on past , C ," Action involves implementing change, with strategies to prevent relapse. ",Intervention
" In SFT, small changes are believed to lead to what? ", Large changes , No impact , Regression , More problems , Dependency on therapist , A , SFT assumes small steps can create systemic shifts. ,Intervention
 Lithium is primarily used for which disorder? , Anxiety , Depression , Bipolar disorder , Schizophrenia , ADHD , C , Lithium is a mood stabilizer for bipolar mania and maintenance. ,Intervention
" For PTSD, which is an evidence-based, first-line treatment? ", EMDR , IPT , DBT , Schema therapy , All of the above , A , EMDR is the most appropriate answer from these options. Alternate PTSD interventions include TF-CBT. ,Intervention
 CBT is short-term and focused on what? , Negative automatic thoughts , Childhood traumas , Interpersonal deficits , Medication compliance , Group support , A , It targets current thinking patterns. ,Intervention
" In cognitive restructuring, ""So what...?"" evaluates what? ", Implications , Evidence , Situation definition , Meaning clarification , Behavioral plan , A , It explores the consequences of the belief. ,Intervention
" For OCD, what does response prevention involve? ", Allowing compulsions , Blocking rituals , Imaginal exposure only , Medication , Avoidance , B , Preventing the compulsive response to reduce anxiety over time. ,Intervention
" In CBT for depression, what is BA? ", Behavioral Activation , Belief Adjustment , Basic Assessment , Behavioral Avoidance , None , A , BA increases engagement in positive activities. ,Intervention
 Role transitions in IPT include which? , Career changes , Grief over loss , Disputes with partner , Sensitivity to criticism , All , A , Examples include employment or relationship changes. ,Intervention
 IPT is informed by which theories? , Attachment and communication , Cognitive learning , Behavioral conditioning , Psychoanalytic , Neurobiological only , A ," It draws from attachment, communication, and social theories. ",Intervention
 Compassion in MI prioritizes what? , Client's welfare , Therapist's agenda , Quick change , Confrontation , Medication , A , It focuses on promoting the client's needs. ,Intervention
" In Precontemplation, what strategy is used? ", Harm reduction , Action planning , Relapse prevention , Cognitive restructuring , Exposure , A , Reduce risks without forcing recognition of the problem. ,Intervention
 SFT assumes change is what? , Constant , Rare , Therapist-driven , Problem-dependent , Past-focused , A , Change is viewed as inevitable and ongoing. ,Intervention
 Antipsychotics like Olanzapine are for? , Psychosis , Anxiety , Depression , ADHD , Bipolar only , A , Used for schizophrenia and psychotic symptoms. ,Intervention
" After intervention, what is the closing step in therapy? ", Summarize and relapse prevention , Diagnosis , Rapport building , Psycho-education , Goal setting , A , Closing consolidates gains and plans for the future. ,Intervention
" For anxiety disorders in children, what is recommended? ", Family therapy , CBT , Parent management training , Medication only , Psychodynamic , B , CBT is evidence-based for child anxiety; family involvement may be added based on needs. ,Intervention
" In CBT, temperament and learning influence what? ", Cognitive processes , Physical symptoms , Social skills , Medication response , All , A , They shape how negative cognitions develop. ,Intervention
 What is a graded exposure hierarchy used for? ,Structuring graded exposure, Cognitive testing , Medication titration , Group therapy , Insight building , A ,Used to plan graded exposure from easier to harder items.,Intervention
" For PTSD in CBT, what follows processing traumatic memories? ", Situational exposure , Medication , Discharge , Role play , Avoidance , A ," After imaginal, in vivo exposure to triggers. ",Intervention
 IPT avoids focusing on what? , Childhood experiences , Current relationships , Role transitions , Grief , Disputes , A ," It stays in the present, not delving into remote past. ",Intervention
" In MI, evocation assumes resources are where? ", In the individual , In the therapist , In medication , In groups , External , A , The client has intrinsic motivation to evoke. ,Intervention
" In early sessions with a new client, what’s the best first step? ", Administer multiple scales , Start exposure immediately , Validate and explore concerns , Assign homework , Deliver diagnosis , C , Start slow—validate and explore before tests or interventions. ,Intervention
 “Therapeutic alliance” primarily refers to a relationship built on… , Symptom reduction , Common goals and understanding , Therapist expertise , Transference analysis , Homework adherence , B , Defined as a collaborative relationship with shared goals/understanding. ,Intervention
 Reflecting and paraphrasing mainly serve to… , Give advice , Check understanding and build rapport , Gather consent , Increase problem insight via interpretation , Assess risk , B , Reflection and paraphrase build rapport and check understanding. ,Intervention
" When a client can’t label emotions, what should you do first?", EMDR , Cognitive restructuring , Helping put emotions and sensations into words , Exposure therapy , Mindfulness body scan only , C , Identification and naming of emotions/sensations comes before complex work. ,Intervention
 Which is the correct general sequence for structured therapy? , Diagnose → Treat → Assess , Rapport → Validate → Assessment → Formulation → Psychoeducation → Plan → Intervention → Evaluate → Close , Assessment → Intervention → Plan → Close , Psychoeducation → Diagnose → Rapport → Intervention , Intervention → Evaluate → Discharge , B , Follows a common 9-step sequence for structured therapy. ,Intervention
" For adolescent resistance, an early helpful move is to… ", Confront resistance , Ask their goals and ideas for help , Increase session length , Threaten discharge , Assign graded exposure , B , Meet clients where they are; ask their goals and how they’d like help. ,Intervention
 First-line psychotherapy across most anxiety disorders is… , DBT , CBT , IPT , EMDR , Hypnosis , B , CBT is first-line across most anxiety disorders in clinical guidelines. ,Intervention
 OCD is best treated with… , Mindfulness only , ERP (exposure and response prevention) , IPT , Family therapy , Supportive therapy , B , ERP is specified for OCD. ,Intervention
 PTSD evidence-based options include… , TF-CBT and EMDR , SFT only , MI only , Hypnosis only , BA only , A ," TF-CBT, EMDR, prolonged exposure listed. ",Intervention
" For adolescent ADHD psychosocial work, which approach is emphasised?", CBT skills training with the child , Parent management training , MI only , Exposure , EMDR , B , “ADHD: Parent Management training and medication.” ,Intervention
 Core CBT idea: negative emotions are elicited by… , Genetic destiny , Cognitive processes shaped by learning/temperament , Unconscious drives only , Social media use , Neurochemistry alone , B ," In CBT, negative emotions are elicited by cognitive processes shaped by learning and temperament. ",Intervention
 Beck’s cognitive triad targets beliefs about… ," Past, present, future "," Thoughts, feelings, behaviors "," Self, world/others, future "," Id, ego, superego "," Family, school, peers ", C ," Self, others/world, future. ",Intervention
 A clean Socratic sequence includes… , Advice → Persuasion → Homework , Define situation → Clarify appraisal → Evidence → Alternatives → Implications , Validation → Exposure → BA , Diagnose → Reframe → Interpret , None of these , B , This sequence reflects standard CBT Socratic questioning. ,Intervention
 In vivo exposure is best described as… , Role-play only , Contact with actual avoided situations/objects , Imagining feared scenes , Focusing on internal sensations , Listening to recordings , B , In-vivo exposure means contact with the actual avoided situations or objects. ,Intervention
 Interoceptive exposure targets… , External triggers , Social cues , Feared bodily sensations , Past memories only , Cognitive distortions only , C , Interoceptive exposure targets feared bodily sensations. ,Intervention
 Exposure for PTSD commonly uses… , Single brief imaginal session , Prolonged imaginal exposure and in-vivo for avoided situations , Only in-vivo , Only interoceptive , No exposure , B , PTSD treatment commonly includes prolonged imaginal exposure plus in‑vivo exposure. ,Intervention
 Exposure should typically be… , Flooding only , Unstructured , Graduated via hierarchy , Therapist-avoided , Client-designed without guidance , C , Exposure is typically graduated via a hierarchy. ,Intervention
 Behavioral Activation (BA) initial focus is often on… , New complex hobbies first , Re-establishing pre-depression routines , Deep trauma work , Sleep restriction , Exposure hierarchies , B , Start with pre-depression routines and small goals. ,Intervention
" In depression, an effective starting intervention is often… ", BA , ERP , Interoceptive exposure , MI , Hypnosis , A , A common starting point in depression is Behavioral Activation. ,Intervention
 Panic disorder sequencing often is… , Exposure first ," Cognitive work then graded (imaginal, in-vivo, interoceptive) exposure ", BA only , EMDR first , Family therapy first , B ," A typical sequence is cognitive work first, then graded imaginal, in‑vivo, and interoceptive exposure. ",Intervention
 IPT’s focus is primarily on… , Cognitions , Interpersonal functioning and communication , Dream analysis , Graded exposure , Medication adherence , B , IPT targets interpersonal problems and communication. ,Intervention
 IPT is typically… , Open-ended , Time-limited (12–16 sessions) , Single-session , Group only , Crisis only , B , IPT is typically time-limited (12–16 sessions). ,Intervention
 Not a standard IPT problem area: , Grief , Role transitions , Interpersonal disputes , Interpersonal sensitivity , Specific phobia , E , Phobia is not an IPT problem area. ,Intervention
 When is IPT less suitable? , Mild depression with disputes , Grief-related depression , Psychosis with severe cognitive deficits , Postnatal depression , Role transition stress , C , IPT is generally not indicated when severe psychosis or cognitive deficits limit engagement. ,Intervention
 A technique in IPT is… , Exposure hierarchy , Communication analysis , Cognitive triad worksheet , Interoceptive drills , Stroop training , B , Communication analysis is explicitly named. ,Intervention
